order_id,customer_id,item_name,category,quantity,price,payment_method,order_status,order_timestamp,rating,delivery_time_mins,city
ORD005871,CUST0360,Butter Chicken,Main Course,1,327.55,Credit Card,Delivered,2023-01-13 19:56:00,4.9,38.0,Mumbai
ORD001586,CUST0040,Veg Manchurian,Starters,2,321.16,Digital Wallet,Delivered,2023-08-25 21:50:00,,67.0,Mumbai
ORD004346,CUST0711,Chicken Fried Rice,Main Course,5,1214.76,Credit Card,Delivered,2023-03-06 19:31:00,5.0,56.0,Pune
ORD002595,CUST0485,Veg Fried Rice,Main Course,5,1000.0,UPI,Pending,2023-03-29 08:44:00,4.4,42.0,Pune
ORD004311,CUST0014,Veg Manchurian,Starters,1,158.87,Credit Card,Cancelled,2022-12-28 11:03:00,2.5,43.0,Delhi
ORD005591,CUST0074,Veg Supreme Pizza,Pizza,2,573.13,Debit Card,Delivered,2023-08-19 14:36:00,4.9,37.0,Bangalore
ORD006658,CUST0386,Chicken Tikka Masala,Main Course,2,686.08,Net Banking,Delivered,2022-12-08 18:01:00,4.3,71.0,Mumbai
ORD004412,CUST0214,Pasta Arrabbiata,Main Course,2,471.98,Debit Card,Cancelled,2022-11-02 22:37:00,4.7,48.0,Chennai
ORD006158,CUST0259,Cheese Burst Burger,Burgers,3,637.81,Credit Card,Delivered,2022-12-26 12:02:00,2.7,30.0,Pune
ORD003410,CUST0619,Butter Chicken,Main Course,2,9999.0,Credit Card,In Progress,2023-07-09 12:44:00,4.0,23.0,Hyderabad
ORD004467,CUST0634,Mango Lassi,Drinks,4,310.96,Cash,Pending,2023-07-08 21:05:00,4.5,45.0,Bangalore
ORD003669,CUST0561,Veg Manchurian,Starters,3,470.33,Debit Card,Delivered,2022-10-24 08:59:00,4.9,62.0,Bangalore
ORD005815,CUST0024,Mojito,Drinks,3,398.16,Cash,Delivered,2023-04-14 20:51:00,4.8,53.0,Mumbai
ORD006803,CUST0788,Tandoori Roti,Breads,2,61.69,Debit Card,Delivered,2023-06-12 08:48:00,3.1,56.0,Delhi
ORD001439,CUST0713,BLT Sandwich,Sandwiches,4,696.48,Debit Card,In Progress,2023-07-15 13:32:00,4.2,74.0,Hyderabad
ORD006437,CUST0734,Bruschetta,Starters,4,529.35,Digital Wallet,Cancelled,2022-12-07 21:06:00,3.0,47.0,Mumbai
ORD006652,CUST0450,Chicken Tikka Masala,Main Course,1,333.3,Net Banking,Pending,2023-08-23 13:23:00,4.4,63.0,Delhi
ORD003767,CUST0064,Veg Burger,Burgers,1,145.89,Cash,Delivered,2023-08-06 14:38:00,4.1,26.0,Pune
ORD004339,CUST0631,Farmhouse Pizza,Pizza,1,304.13,Digital Wallet,Pending,2023-01-30 14:18:00,4.6,75.0,Pune
ORD003412,CUST0061,BLT Sandwich,Sandwiches,1,162.31,Credit Card,Cancelled,31/10/2023 17:27,4.3,43.0,Hyderabad
ORD005942,CUST0155,Garlic Bread,Starters,1,86.26,Digital Wallet,Delivered,2023-09-26 22:54:00,3.1,43.0,Mumbai
ORD004260,CUST0652,Fish Fingers,Starters,2,444.38,Digital Wallet,Pending,2023-07-15 13:40:00,4.0,47.0,Bangalore
ORD001093,CUST0231,Egg Curry,Main Course,3,529.78,Cash,Cancelled,2022-10-08 16:05:00,4.9,56.0,Delhi
ORD003213,CUST0741,Cold Brew Coffee,Drinks,2,287.85,Debit Card,Pending,2022-10-23 13:40:00,2.9,55.0,
ORD002892,CUST0096,Garlic Bread,Starters,5,466.74,Cash,Delivered,2023-07-20 21:55:00,4.1,25.0,Pune
ORD004090,CUST0566,Margherita Pizza,Pizza,1,270.05,Cash,In Progress,2023-04-06 21:22:00,4.4,65.0,Bangalore
ORD002454,CUST0304,Gulab Jamun,Desserts,1,80.65,Digital Wallet,Pending,17/06/2023 19:35,2.9,54.0,Pune
ORD006085,CUST0454,Classic Burger,Burgers,1,172.78,UPI,In Progress,2023-05-23 14:08:00,2.8,35.0,Hyderabad
ORD002844,CUST0378,Grilled Salmon,Main Course,1,456.46,Cash,In Progress,2023-09-15 19:15:00,3.2,16.0,Pune
ORD006987,CUST0783,Egg Curry,Main Course,1,188.73,Cash,Delivered,2023-10-18 09:42:00,2.5,39.0,Delhi
ORD003882,CUST0360,Paneer Tikka,Starters,2,381.14,Cash,Delivered,2023-05-04 09:35:00,2.6,23.0,Pune
ORD002963,CUST0281,Veg Fried Rice,Main Course,1,195.87,Net Banking,Pending,2023-04-11 22:43:00,4.0,42.0,Hyderabad
ORD005439,CUST0743,Cheese Burst Burger,Burgers,2,453.83,Digital Wallet,Delivered,2023-10-30 09:18:00,3.3,29.0,Hyderabad
ORD003417,CUST0587,Classic Burger,Burgers,4,701.15,Cash,Pending,2022-10-17 12:34:00,3.1,,Delhi
ORD001810,CUST0403,Cold Brew Coffee,Drinks,1,153.61,Cash,Delivered,2023-05-25 10:11:00,3.5,60.0,Bangalore
ORD004785,CUST0577,Kheer,Desserts,1,88.36,Net Banking,Delivered,2023-08-01 13:44:00,5.0,67.0,Delhi
ORD004904,CUST0602,Margherita Pizza,Pizza,1,291.47,Credit Card,Delivered,2023-07-17 13:50:00,3.3,33.0,Mumbai
ORD005753,CUST0757,Ice Cream Sundae,DESSERTS,2,312.01,,Delivered,2023-06-10 21:36:00,3.2,19.0,Pune
ORD003913,CUST0136,Garlic Bread,Starters,1,86.18,UPI,Delivered,2023-02-02 20:42:00,2.7,70.0,Bangalore
ORD001706,CUST0729,Farmhouse Pizza,Pizza,1,313.1,Digital Wallet,Delivered,2022-12-25 19:10:00,3.0,26.0,
ORD005794,CUST0010,Cheese Burst Burger,Burgers,2,453.46,Cash,In Progress,2023-10-08 13:24:00,3.3,60.0,Bangalore
ORD001926,CUST0394,Butter Chicken,Main Course,2,619.49,Net Banking,Delivered,2023-08-13 19:29:00,4.2,21.0,
ORD002002,CUST0301,Farmhouse Pizza,Pizza,5,1625.31,Net Banking,Pending,2023-02-05 12:33:00,3.6,51.0,Hyderabad
ORD004381,CUST0370,Club Sandwich,Sandwiches,4,656.7,Credit Card,Delivered,2023-02-12 09:43:00,4.2,32.0,Mumbai
ORD006037,CUST0259,Gulab Jamun,Desserts,1,99999.0,Debit Card,Cancelled,2023-03-03 13:47:00,2.8,39.0,Mumbai
ORD005507,CUST0193,Mojito,Drinks,3,408.3,Cash,Cancelled,2023-08-12 17:46:00,4.5,21.0,Pune
ORD006669,CUST0502,Classic Burger,Burgers,1,177.46,Cash,Delivered,2023-03-09 13:46:00,3.1,21.0,Pune
ORD001472,CUST0593,Grilled Sandwich,Sandwiches,3,420.9,Digital Wallet,Pending,2023-02-18 20:16:00,2.9,56.0,Hyderabad
ORD004806,CUST0638,Watermelon Juice,Drinks,1,72.51,Credit Card,Delivered,2023-10-19 18:16:00,3.2,,Delhi
ORD001157,CUST0540,Rasgulla,Desserts,2,144.61,Cash,In Progress,2023-10-14 22:58:00,4.2,47.0,Bangalore
ORD005085,CUST0479,Mushroom Risotto,Main Course,1,311.14,,Delivered,2022-12-15 08:06:00,4.7,31.0,Bangalore
ORD001681,CUST0687,Ice Cream Sundae,Desserts,1,144.74,Cash,Delivered,2023-05-31 14:10:00,4.1,33.0,Delhi
ORD002835,CUST0774,Mushroom Risotto,Main Course,1,302.12,Digital Wallet,Delivered,2023-03-17 17:29:00,3.9,49.0,Pune
ORD001476,CUST0663,Pepperoni Pizza,Pizza,1,356.13,UPI,Delivered,2023-06-03 11:10:00,3.1,23.0,Chennai
ORD003815,CUST0254,BLT Sandwich,Sandwiches,2,328.1,Digital Wallet,In Progress,2023-04-08 12:15:00,4.0,,Chennai
ORD006742,CUST0714,Strawberry Shake,Drinks,1,123.24,UPI,Cancelled,2023-01-18 13:23:00,2.7,71.0,Hyderabad
ORD002362,CUST0666,Club Sandwich,Sandwiches,3,473.44,UPI,Cancelled,2023-10-02 21:40:00,4.5,21.0,Delhi
ORD003750,CUST0558,Onion Rings,Starters,3,333.05,Debit Card,Delivered,2023-03-06 19:01:00,3.9,62.0,Mumbai
ORD003347,CUST0188,Cheese Burst Burger,Burgers,3,676.46,UPI,Cancelled,2022-12-04 20:42:00,5.0,47.0,Hyderabad
ORD006033,CUST0725,Cheese Burst Burger,Burgers,1,216.52,Cash,Pending,2023-04-06 09:44:00,3.1,58.0,Delhi
ORD002194,CUST0627,Chicken Burger,Burgers,4,820.47,Debit Card,Delivered,2023-05-04 21:03:00,,62.0,Mumbai
ORD005705,CUST0359,Lamb Rogan Josh,Main Course,1,387.59,Net Banking,In Progress,2023-03-02 11:27:00,3.0,57.0,Bangalore
ORD003680,CUST0013,Mushroom Risotto,Main Course,1,313.26,UPI,Delivered,2022-12-31 19:12:00,2.6,27.0,Mumbai
ORD002335,CUST0333,Pasta Arrabbiata,Main Course,2,464.58,Debit Card,In Progress,2023-04-01 13:28:00,2.6,22.0,Bangalore
ORD006470,CUST0497,Naan,Breads,1,41.11,Net Banking,In Progress,2022-12-21 20:44:00,3.7,74.0,Mumbai
ORD001156,CUST0573,Chocolate Brownie,Desserts,2,231.09,UPI,In Progress,2023-09-28 21:19:00,4.5,67.0,Delhi
ORD001705,CUST0176,Cold Coffee,Drinks,2,196.08,Debit Card,Delivered,2022-12-07 21:19:00,3.7,33.0,Mumbai
ORD002032,CUST0270,Cold Coffee,Drinks,1,100.11,Net Banking,Delivered,2023-02-05 12:07:00,4.2,42.0,Delhi
ORD005523,CUST0313,Bruschetta,Starters,1,127.31,UPI,Cancelled,2023-06-14 12:23:00,3.0,73.0,Pune
ORD006698,CUST0089,Club Sandwich,Sandwiches,3,462.05,Debit Card,Delivered,2022-12-07 12:50:00,4.2,54.0,Delhi
ORD001031,CUST0292,Cold Coffee,Drinks,1,98.49,Credit Card,Cancelled,2022-11-05 21:23:00,4.6,,Bangalore
ORD005418,CUST0228,Classic Burger,Burgers,2,350.53,Digital Wallet,Delivered,2023-08-24 09:09:00,3.8,43.0,Bangalore
